0,1,Calgary Stampede,1168509,Calgary,2015
1,6,FIFA World Cup,3178856,UNKNOWN,2010
2,5,FIFA World Cup,5029873,UNKNOWN,2014
3,2,UNKNOWN,,Chicago,2015
5,1,UNKNOWN,,Toronto,2015
6,1,IIHF World U20 Championship,325138,UNKNOWN,2006
7,8,2005 Sharm el-Sheikh attacks,,SharmelSheikh,2005
8,9,29 October 2005 Delhi bombings,,Delhi,2005
9,1,UNKNOWN,1195299,UNKNOWN,2007
10,9,2006 Varanasi bombings,,Varanasi,2006
11,9,Under The Peepal Tree (UTPT),,Bangalore,2015
12,9,11 July 2006 Mumbai train bombings,,Mumbai,2006
13,6,Africa Cup of Nations,729000,UNKNOWN,2013
14,9,2006 blasts at Malegaon,,Malegaon,2006
16,9,AFC Youth Championship,51050,UNKNOWN,2006
17,9,2006 West Bengal train disaster,,WestBengal,2006
18,9,AFC Challenge Cup,15900,UNKNOWN,2008
19,5,UNKNOWN,292161,UNKNOWN,2008
20,2,2005 Musayyib bombing,,Musayyib,2012
21,9,Samjhauta Express bombings,,Panipat,2007
22,4,IIHF World Championship Division I,51436,UNKNOWN,2007
24,1,UNKNOWN,477040,UNKNOWN,2008
25,9,"Mecca Masjid Bombing

{{Location map",,Hyderabad,2007
26,9,Jaipur Literature Festival,,DiggiPalace,2015
28,9,UNKNOWN,,Agra,2013
29,7,2007 Karsaz attack,,Karachi,2007
30,9,Techkriti,250001000,Kanpur,2015
31,5,FIFA Confederations Cup,804659,UNKNOWN,2013
32,7,Benazir Bhutto assassination,,LiaquatNationalBagh,2007
33,1,IIHF U20 World Championships,455342,UNKNOWN,2012
34,9,Eastwind,,NewDelhi,2008
35,7,2008 Charsadda bombing,,Charsadda,2008
36,4,2008 Parachinar bombing,,Parachinar,2008
37,9,2008 Indian Embassy bombing in Kabul,,EmbassyofIndia,2008
38,9,2008 Bangalore serial blasts,,Bangalore,2008
39,9,Death toll in Ahmedabad serial blasts rises to 55,,Ahmedabad,2008
40,7,2008 Wah bombing,,WahCantonment,2008
41,7,23 August 2008 Swat Valley bombing,,Swat,2008
42,9,13 September 2008 Delhi bombings,,Delhi,2008
43,6,Nic Diederichs Technical High School slashing,,Krugersdorp,2008
44,7,Islamabad Marriott Hotel bombing,,Islamabad,2008
45,2,2008 Jerusalem BMW attack,,Jerusalem,2008
46,9,27 September 2008 Delhi blast,,Delhi,2008
47,9,29 September 2008 Western India bombings,,MaharashtraandGujarat,2008
48,7,10 October 2008 Orakzai bombing,,OrakzaiAgency,2008
49,9,21 October 2008 Imphal bombings,,Imphal,2008
50,9,2008 Assam serial blasts,,Assam,2008
51,7,December 2008 Peshawar bombing,,Peshawar,2008
52,9,2009 Guwahati serial blasts,,Guwahati,2009
53,9,2006 Srinagar bombings,,Srinagar,2006
54,8,Khan el-Khalili bombing,,KhanelKhalili,2009
55,7,2009 attack on the Sri Lanka national cricket team in Pakistan,,Lahore,2011
56,7,"Lahore police academy attack, 2009",,Lahore,2009
57,7,5 April 2009 Chakwal Mosque attack,,Chakwal,2009
58,7,Operation Clean-up,,Karachi,2015
59,9,2009 Assam serial blasts,,Assam,2009
60,7,2009 Lahore bombing,,Lahore,2009
61,7,Pearl Continental hotel bombing,,Peshawar,2009
63,7,2009 Makin airstrike,,Makin,2009
64,9,2009 Chitrakoot Shootout,,Chitrakootvillage,2009
65,7,Mian Channu school house bombing,,MianChannu,2009
67,1,UNKNOWN,,UNKNOWN,2010
69,9,2009 Kabul Indian embassy attack,,EmbassyofIndia,2009
70,7,2009 International Islamic University bombing,,Islamabad,2009
