0,PLACIDYL CAP 200MG,Oral,327.37,Cancelled Post Market
1,PLACIDYL CAP 500MG,Oral,31.39,Cancelled Post Market
2,NEMBUTAL SODIUM CAP 100MG,Oral,953.76,Cancelled Post Market
3,ERYTHROCIN IV,Intravenous,809.64,Cancelled Post Market
4,ERYTHROCIN IV,Intravenous,504.62,Cancelled Post Market
5,NEMBUTAL SODIUM INJ 50MG/ML,Intramuscular,822.17,Cancelled Post Market
6,EES-200,Oral,267.32,Cancelled Post Market
7,ERYTHROCIN LIQUID 125,Oral,14.38,Cancelled Post Market
8,COLCHICINE TAB 0.6MG,Oral,437.35,Cancelled Post Market
9,ERYTHROCIN FILMTAB 250MG,Oral,45.85,Cancelled Post Market
10,DURETIC 5MG,Oral,604.17,Cancelled Post Market
11,EES-200 CHEWABLE TBS (ERYPED),Oral,619.86,Cancelled Post Market
12,ISOPTO CARBACHOL 1.5%,Ophthalmic,746.05,Cancelled Post Market
13,ISOPTO CARBACHOL 3%,Ophthalmic,748.31,Cancelled Post Market
14,ISOPTO HOMATROPINE 2%,Ophthalmic,619.54,Cancelled Post Market
15,ISOPTO HOMATROPINE 5%,Ophthalmic,790.03,Cancelled Post Market
16,ALCON TEARS 0.5%,Ophthalmic,109.84,Marketed
17,ALCON TEARS 1%,Ophthalmic,36.78,Marketed
18,ISOPTO CARPINE 0.5%,Ophthalmic,394.96,Cancelled Post Market
19,ISOPTO CARPINE,Ophthalmic,217.79,Cancelled Post Market
20,ISOPTO CARPINE,Ophthalmic,910.13,Marketed
21,ISOPTO CARPINE,Ophthalmic,900.64,Marketed
22,ISOPTO CARPINE LIQ 6%,Ophthalmic,362.95,Cancelled Post Market
23,MYDRIACYL,Ophthalmic,799.68,Marketed
24,MYDRIACYL,Ophthalmic,946.58,Marketed
25,CHLOROPTIC DPS 0.5%,Ophthalmic,253.94,Cancelled Post Market
26,EPIFRIN 1/2%,Ophthalmic,851.4,Cancelled Post Market
27,EPIFRIN 1%,Ophthalmic,293.05,Cancelled Post Market
28,EPIFRIN 2%,Ophthalmic,928.95,Cancelled Post Market
29,HERPLEX,Ophthalmic,78.9,Cancelled Post Market
30,ALBALON,Ophthalmic,947.4,Marketed
31,OPHTHETIC,Ophthalmic,71.53,Cancelled Post Market
32,BLEPH 10 DPS,Ophthalmic,977.16,Cancelled Post Market
33,HERPLEX D,Topical,520.99,Cancelled Post Market
34,CHLOROPTIC OPH ONT 1%,Ophthalmic,479.16,Cancelled Post Market
35,XYLOCAINE VISCOUS 2%,Oral,236.17,Dormant
36,XYLOCAINE JELLY 2%,Topical,634.83,Marketed
37,XYLOCAINE 0.5%,Block/Infiltration,384.97,Cancelled Post Market
38,XYLOCAINE 1%,Block/Infiltration,124.89,Marketed
39,XYLOCAINE 1.5%,Epidural,222.23,Cancelled Post Market
40,XYLOCAINE 0.5% W EPINEPHRINE 1:100000,Block/Infiltration,400.99,Cancelled Post Market
41,XYLOCAINE 1% W EPINEPHRINE 1:100000,Block/Infiltration,162.33,Marketed
42,XYLOCAINE 1% W EPINEPHRINE 1:200000,Block/Infiltration,969.64,Marketed
43,XYLOCAINE 1.5% W EPINEPHRINE 1:200000,Block/Infiltration,464.23,Cancelled Post Market
44,XYLOCAINE 2% W EPINEPHRINE 1:100000,Block/Infiltration,216.13,Cancelled Post Market
45,JECTOFER 50 MG/ML,Intramuscular,223.62,Cancelled Post Market
46,XYLOCARD,Intravenous,127.97,Marketed
47,XYLOCAINE ORAL SPRAY,Oral,507.11,Cancelled Post Market
48,XYLOCAINE OINTMENT 5%,Topical,474.05,Marketed
49,PENBRITIN CAP 250MG,Oral,254.7,Cancelled Post Market
50,PENBRITIN CAP 500MG,Oral,949.54,Cancelled Post Market
51,ATROMID S CAP 500MG,Oral,674.61,Cancelled Post Market
52,ORBENIN CAP 250MG,Oral,309.63,Cancelled Post Market
53,ORBENIN CAP 500MG,Oral,885.74,Cancelled Post Market
54,PREMARIN CRM 0.625MG/GM,Topical,821.77,Cancelled Post Market
55,PENBRITIN INJ 250MG,Intramuscular,576.38,Cancelled Post Market
56,PENBRITIN INJ 500MG,Intravenous,157.61,Cancelled Post Market
57,PENBRITIN INJ 1000MG,Intravenous,842.75,Cancelled Post Market
58,PENBRITIN INJ 2000MG,Intravenous,303.38,Cancelled Post Market
59,ORBENIN INJ 250MG,Intravenous,656.96,Cancelled Post Market
60,ORBENIN INJ 500MG,Intramuscular,166.08,Cancelled Post Market
61,ORBENIN INJ 2000MG,Intramuscular,502.6,Cancelled Post Market
62,PENICILLIN G POTASSIUM INJ 1000000IU,Topical,881.93,Cancelled Post Market
63,PENICILLIN G POTASSIUM INJ 5000000IU,Topical,988.0,Cancelled Post Market
64,PENICILLIN G POTASSIUM INJ 10000000IU,Intramuscular,577.75,Cancelled Post Market
65,PENICILLIN G SODIUM INJ 1000000IU,Intravenous,465.45,Cancelled Post Market
66,PENICILLIN G SODIUM INJ 5000000IU,Topical,81.31,Cancelled Post Market
67,PENICILLIN G SODIUM INJ 10000000IU,Topical,170.5,Cancelled Post Market
68,PROTOPAM CHLORIDE INJ 1GM,Intravenous,256.84,Cancelled Post Market
69,PREMARIN INJ 25MG/5ML,Intramuscular,193.69,Cancelled Post Market
70,APL INJ 1000 IU/ML,Intramuscular,404.73,Cancelled Post Market
71,AYERCILLIN SUSPENSION,Intramuscular,782.32,Cancelled Post Market
72,PENBRITIN PWS 250MG/5ML,Oral,341.79,Cancelled Post Market
73,ORBENIN PWR 125MG/5ML,Oral,275.14,Cancelled Post Market
74,AVLOSULFON TAB 100MG,Oral,442.83,Cancelled Post Market
75,ANTABUSE TAB 0.25GM,Oral,407.5,Cancelled Post Market
76,PREMARIN TABLETS 0.3MG,Oral,109.66,Cancelled Post Market
77,PREMARIN TABLETS 0.625MG,Oral,291.15,Cancelled Post Market
78,PREMARIN TABLETS 1.25MG,Oral,251.94,Cancelled Post Market
79,PREMARIN TABLETS 2.5MG,Oral,845.3,Cancelled Post Market
