researchBudget, productType, productPricePerUnit, productStatus, eventCountry, eventAttendance, afflictionCommunicable, afflictionCasesReported, afflictionDeathRate, afflictionImmunizationPercentage, afflictionCountry, countryRegion, countryGDP, countryLandlocked, countryPopulation, countryRural, salesTotalRevenue
590046,64,320,6,8,-1,1,-1,-1,99,4,0,10700,0,55386369,0,1
467174,83,472,6,9,30000400,1,-1,-1,-1,7,3,7800,0,188167353,0,1
812810,64,216,6,4,-1,1,-1,-1,-1,4,2,37800,0,316059947,0,1
432133,64,790,6,1,-1,1,-1,-1,-1,7,0,4000,0,79636081,1,1
667509,64,906,6,6,-1,1,0,-1,-1,8,1,5000,0,1324655000,0,0
88254,64,158,9,2,-1,1,-1,-1,76,6,2,9000,0,110815272,0,1
790272,83,618,6,9,15900,1,-1,-1,91,2,1,5000,0,1363240000,0,1
672543,64,392,6,9,-1,1,-1,-1,72,5,2,9000,0,123333379,0,1
396377,64,415,6,7,-1,1,-1,-1,-1,8,1,2100,0,165803560,1,1
452452,87,519,6,7,-1,1,-1,-1,58,3,0,10700,0,57009751,0,1
733580,64,985,9,7,-1,1,1153698,5,-1,4,2,9000,0,107560155,0,1
582807,83,254,9,9,-1,1,48541,13000,-1,5,0,10700,0,58558267,0,1
963019,83,580,7,7,-1,1,-1,-1,-1,1,2,9000,0,114092961,0,0
14537,83,186,6,9,-1,1,-1,-1,98,8,2,29800,0,32571174,0,0
762393,64,488,6,9,-1,1,-1,-1,-1,2,0,10700,0,57009751,0,1
705848,8,23,5,4,-1,0,32926873,-1,-1,8,2,37800,0,313877662,0,1
911771,64,318,9,2,-1,1,-1,-1,69,7,0,4000,0,90424668,1,1
309022,5,187,6,7,-1,1,14692,1,-1,8,1,2100,0,187280125,1,1
759882,64,688,8,5,-1,0,85804313,-1,-1,5,2,29800,0,32571174,0,0
596546,64,438,6,6,-1,1,-1,-1,70,6,2,29800,0,36545295,0,1
366690,64,277,9,7,-1,1,-1,-1,93,3,3,7800,0,206163056,0,0
536199,83,432,6,8,-1,1,-1,-1,52,7,1,2100,0,179424643,1,0
106082,83,239,6,7,-1,1,9850,0,-1,2,1,5000,0,1407745000,0,1
584281,64,713,9,7,-1,0,-1,-1,-1,3,1,2100,0,216565317,1,1
515399,51,739,6,7,-1,0,-1,-1,-1,5,2,29800,0,32243753,0,1
214735,51,691,9,5,-1,1,-1,-1,-1,1,0,4000,0,76873670,1,1
168959,64,481,6,4,-1,1,-1,-1,91,4,2,29800,0,32571174,0,0
751095,64,463,6,7,-1,1,-1,-1,52,7,0,10700,0,51216967,0,0
538806,64,126,6,9,-1,1,-1,-1,-1,2,2,37800,0,320738994,0,0
853532,83,51,6,7,-1,0,30102439,-1,-1,8,3,7800,0,192030362,0,0
552532,64,387,0,9,-1,1,-1,-1,96,2,3,7800,0,186127108,0,1
728798,64,450,0,9,-1,1,-1,-1,-1,5,1,2100,0,175525610,1,1
524769,63,993,7,3,-1,1,1305,-1,-1,4,0,4000,0,90424668,1,1
947254,64,811,9,7,-1,1,-1,-1,-1,4,1,5000,0,1313973713,0,0
856385,64,937,0,2,-1,0,-1,-1,-1,1,1,5000,0,1317885000,0,1
549706,64,302,6,6,729000,1,538453,23,-1,7,2,9000,0,121858251,0,1
776131,64,235,6,8,-1,1,-1,-1,90,1,1,5000,0,1354190000,0,0
611781,83,322,6,7,-1,1,-1,-1,-1,5,2,29800,0,37593384,0,1
605402,39,524,6,2,-1,1,-1,-1,-1,4,2,29800,0,34339328,0,0
175721,64,406,6,9,-1,0,40757715,-1,-1,3,1,5000,0,1363240000,0,1
687447,83,505,9,9,30000400,1,19497,5900,-1,3,2,9000,0,121858251,0,1
416192,51,187,9,9,-1,1,-1,-1,92,2,0,4000,0,92442549,1,1
438172,64,244,6,4,-1,1,-1,-1,65,7,2,37800,0,316059947,0,0
520073,64,662,6,5,-1,1,-1,-1,84,9,0,10700,0,52003759,0,0
577068,64,206,9,3,-1,0,-1,-1,-1,2,3,7800,0,195713637,0,1
788641,52,729,9,4,-1,1,-1,-1,91,1,1,2100,0,195305012,1,1
247852,64,264,6,4,-1,1,-1,-1,91,2,2,9000,0,126190782,0,1
543937,83,272,6,9,-1,0,40800391,-1,-1,3,2,29800,0,35437435,0,0
814374,83,287,6,8,-1,1,-1,-1,91,1,1,2100,0,187280125,1,1
491509,83,785,6,7,-1,1,-1,-1,-1,1,2,29800,0,35082954,0,1
374641,64,535,6,1,1195299,1,-1,-1,84,6,2,9000,0,109170503,0,1
290115,64,17,6,5,-1,1,-1,-1,94,8,0,10700,0,54544184,0,0
226271,64,331,6,7,-1,1,-1,-1,92,8,3,7800,0,192030362,0,0
414545,64,405,9,7,-1,0,380612315,-1,-1,9,1,5000,0,1324655000,0,1
226761,83,475,6,5,-1,0,22350983,-1,-1,6,1,2100,0,171648984,1,1
932199,83,925,6,7,-1,1,-1,-1,54,7,1,2100,0,167808106,1,1
263669,83,592,7,7,-1,1,-1,-1,75,7,1,2900,0,1366417756,1,1
150120,2,268,5,7,-1,1,-1,-1,90,1,1,2100,0,216565317,1,1
106137,4,383,6,2,-1,0,-1,-1,-1,8,1,2900,0,1295600768,1,1
675068,64,983,6,6,-1,0,-1,-1,-1,3,1,5000,0,1387790000,0,1
642345,51,830,8,9,-1,1,-1,-1,72,6,1,2900,0,1366417756,1,0
357352,64,274,7,2,-1,1,-1,-1,14,1,2,37800,0,301231207,0,1
997590,64,167,9,1,-1,1,10264,0,-1,2,0,4000,0,92442549,1,0
